allergen_name,danger_level,symptoms,ingredients,source,notes
Peach,1,"Itchy mouth, swelling, oral allergy syndrome","Fresh peach, canned peach, peach yogurt",,"Rosaceae family. Cross-reacts with birch pollen."
Cherry,1,"Itchy mouth, swelling, oral allergy syndrome","Fresh cherry, cherry pie, cherry juice",,"Rosaceae family. Cross-reacts with birch pollen."
Grape,1,"Hives, stomach upset, oral allergy syndrome","Grapes, raisins, wine, grape juice",,"Rare but possible. Sulfites in wine may worsen symptoms."
Pineapple,1,"Mouth tingling, swelling, hives, digestive upset","Fresh pineapple, pineapple juice, fruit salads",,"Bromelain enzyme may cause irritation."
Mango,1,"Itchy mouth, swelling, hives, oral allergy syndrome","Mango, mango juice, chutney",,"Related to poison ivy family. Skin contact may cause rash."
Melon,1,"Itchy mouth, swelling, oral allergy syndrome","Cantaloupe, honeydew, watermelon, fruit salads",,"Cross-reacts with ragweed pollen."
Raspberry,1,"Itchy mouth, hives, oral allergy syndrome","Fresh raspberries, jam, desserts",,"Rosaceae family."
Blueberry,1,"Hives, stomach upset, oral allergy syndrome","Fresh blueberries, muffins, smoothies",,"Rare but possible."
Blackberry,1,"Hives, oral allergy syndrome","Fresh blackberries, jams, desserts",,"Rare but possible."
Pear,1,"Itchy mouth, oral allergy syndrome","Fresh pear, canned pear, pear juice",,"Rosaceae family."
Plum,1,"Itchy mouth, oral allergy syndrome","Fresh plum, prunes, plum jam",,"Rosaceae family."
Apricot,1,"Itchy mouth, oral allergy syndrome","Fresh apricot, dried apricot, jam",,"Rosaceae family."
Coconut,1,"Hives, stomach upset, anaphylaxis (rare)","Coconut milk, coconut oil, shredded coconut",,"Tree nut family but rarely cross-reacts."
Lentil,1,"Hives, stomach upset, anaphylaxis","Lentil soup, dal, lentil flour",,"Legume family. Common in Mediterranean and Indian diets."
Chickpea,1,"Hives, stomach upset, anaphylaxis","Hummus, falafel, chickpea flour, chana",,"Legume family. Cross-reacts with peanut."
Pea,1,"Hives, stomach upset, anaphylaxis","Green peas, pea protein, split peas",,"Legume family. Increasing in vegan foods."
Bean,1,"Hives, stomach upset, anaphylaxis","Kidney beans, black beans, pinto beans, baked beans",,"Legume family."
Carrot,1,"Itchy mouth, oral allergy syndrome","Raw carrot, carrot juice, salads",,"Cross-reacts with birch pollen."
Potato,1,"Itchy mouth, hives, oral allergy syndrome","Raw potato, potato chips, mashed potatoes",,"Nightshade family. Cooked potatoes usually tolerated."
Celery,2,"Oral allergy syndrome, anaphylaxis, skin reactions","Celery root, celery salt, celery stalks, soups, spice mixes",,"Common in Europe. Can cause severe reactions."
Mustard,2,"Hives, itching, swelling, difficulty breathing","Mustard seeds, mustard powder, prepared mustard, salad dressings",,"Common in Europe and Canada. Can cause severe reactions."
Sesame,3,"Anaphylaxis, hives, difficulty breathing, gastrointestinal symptoms","Sesame seeds, tahini, sesame oil, hummus, halva, some bread toppings",,"Increasingly recognized allergen. Now required to be labeled in many countries."
Sunflower,1,"Hives, oral allergy syndrome","Sunflower seeds, sunflower oil, snacks",,"Rare but possible."
Poppy Seed,1,"Hives, oral allergy syndrome","Poppy seeds, bagels, pastries",,"Rare but possible."
Pumpkin Seed,1,"Hives, oral allergy syndrome","Pumpkin seeds, pepitas, granola",,"Rare but possible."
Macadamia Nut,2,"Hives, anaphylaxis","Macadamia nuts, cookies, nut mixes",,"Tree nut."
Hazelnut,2,"Itchy mouth, hives, oral allergy syndrome","Hazelnuts, chocolate spreads, praline",,"Tree nut. Cross-reacts with birch pollen."
Pecan,2,"Hives, anaphylaxis","Pecans, pies, nut mixes",,"Tree nut."
Walnut,2,"Hives, anaphylaxis","Walnuts, brownies, nut mixes",,"Tree nut."
Cashew,2,"Hives, anaphylaxis","Cashews, nut butters, nut mixes",,"Tree nut."
Pistachio,2,"Hives, anaphylaxis","Pistachios, nut mixes, desserts",,"Tree nut."
Brazil Nut,2,"Hives, anaphylaxis","Brazil nuts, nut mixes, desserts",,"Tree nut."
Almond,2,"Hives, anaphylaxis","Almonds, marzipan, almond milk, nut mixes",,"Tree nut."
Walnut,2,"Hives, anaphylaxis","Walnuts, brownies, nut mixes",,"Tree nut."
Oat,1,"Hives, stomach upset, oral allergy syndrome","Oatmeal, granola, oat milk, cookies",,"Gluten-free but can be cross-contaminated."
Barley,1,"Hives, stomach upset, oral allergy syndrome","Barley flour, beer, soups, cereals",,"Contains gluten."
Rye,1,"Hives, stomach upset, oral allergy syndrome","Rye bread, rye flour, whiskey",,"Contains gluten."
Buckwheat,1,"Skin rash, asthma, anaphylaxis","Buckwheat flour, soba noodles, pancakes",,"Common in Asia. Not related to wheat."
Quinoa,1,"Hives, stomach upset, oral allergy syndrome","Quinoa, quinoa flour, salads",,"Pseudo-grain. Rare but possible."
Mollusks,3,"Hives, swelling, anaphylaxis, digestive symptoms","Snails, clams, oysters, squid, octopus, scallops",,"Common in Mediterranean diets. Not always labeled."
Crab,3,"Hives, swelling, anaphylaxis","Crab, crab cakes, seafood mixes",,"Shellfish family."
Lobster,3,"Hives, swelling, anaphylaxis","Lobster, lobster bisque, seafood mixes",,"Shellfish family."
Shrimp,3,"Hives, swelling, anaphylaxis","Shrimp, prawns, seafood mixes",,"Shellfish family."
Clam,3,"Hives, swelling, anaphylaxis","Clams, clam chowder, seafood mixes",,"Shellfish family."
Oyster,3,"Hives, swelling, anaphylaxis","Oysters, oyster sauce, seafood mixes",,"Shellfish family."
Squid,3,"Hives, swelling, anaphylaxis","Squid, calamari, seafood mixes",,"Shellfish family."
Octopus,3,"Hives, swelling, anaphylaxis","Octopus, seafood mixes",,"Shellfish family."
Scallop,3,"Hives, swelling, anaphylaxis","Scallops, seafood mixes",,"Shellfish family."
Snail,2,"Hives, swelling, anaphylaxis","Escargot, snail dishes",,"Mollusk family."
Chicken,1,"Hives, stomach upset, oral allergy syndrome","Chicken meat, chicken broth, processed foods",,"Rare but possible."
Beef,1,"Hives, stomach upset, oral allergy syndrome","Beef, steak, hamburgers, processed foods",,"Rare but possible."
Pork,1,"Hives, stomach upset, oral allergy syndrome","Pork, ham, bacon, sausages",,"Rare but possible."
Gelatin,1,"Hives, stomach upset, oral allergy syndrome","Gelatin, marshmallows, gummy candies, capsules",,"Derived from animal collagen."
Eggplant,1,"Itchy mouth, oral allergy syndrome","Eggplant, baba ganoush, ratatouille",,"Nightshade family."
Zucchini,1,"Itchy mouth, oral allergy syndrome","Zucchini, squash, salads",,"Rare but possible."
Cucumber,1,"Itchy mouth, oral allergy syndrome","Cucumber, salads, pickles",,"Rare but possible."
Bell Pepper,1,"Itchy mouth, oral allergy syndrome","Bell pepper, salads, stir fry",,"Nightshade family."
Chili Pepper,1,"Itchy mouth, oral allergy syndrome","Chili pepper, hot sauce, salsa",,"Nightshade family."
Spinach,1,"Itchy mouth, oral allergy syndrome","Spinach, salads, cooked spinach",,"Rare but possible."
Lettuce,1,"Itchy mouth, oral allergy syndrome","Lettuce, salads, sandwiches",,"Rare but possible."
Broccoli,1,"Itchy mouth, oral allergy syndrome","Broccoli, salads, stir fry",,"Rare but possible."
Cauliflower,1,"Itchy mouth, oral allergy syndrome","Cauliflower, salads, stir fry",,"Rare but possible."
Mushroom,1,"Hives, stomach upset, oral allergy syndrome","Mushrooms, pizza, stir fry",,"Rare but possible."
Sesame,3,"Anaphylaxis, hives, difficulty breathing, gastrointestinal symptoms","Sesame seeds, tahini, sesame oil, hummus, halva, some bread toppings",,"Increasingly recognized allergen. Now required to be labeled in many countries."
Pine Nut,1,"Hives, oral allergy syndrome","Pine nuts, pesto, salads",,"Tree nut."
Saffron,1,"Hives, oral allergy syndrome","Saffron, paella, risotto",,"Spice allergy. Rare."
Coriander,1,"Hives, oral allergy syndrome","Coriander, cilantro, spice mixes",,"Spice allergy."
Cinnamon,1,"Hives, oral allergy syndrome","Cinnamon, baked goods, spice mixes",,"Spice allergy."
Vanilla,1,"Hives, oral allergy syndrome","Vanilla extract, ice cream, desserts",,"Spice allergy."
Black Pepper,1,"Hives, oral allergy syndrome","Black pepper, spice mixes",,"Spice allergy."
Ginger,1,"Hives, oral allergy syndrome","Ginger, gingerbread, stir fry",,"Spice allergy."
Nutmeg,1,"Hives, oral allergy syndrome","Nutmeg, baked goods, spice mixes",,"Spice allergy."
Clove,1,"Hives, oral allergy syndrome","Clove, spice mixes, baked goods",,"Spice allergy."
Cardamom,1,"Hives, oral allergy syndrome","Cardamom, chai, spice mixes",,"Spice allergy."
Allspice,1,"Hives, oral allergy syndrome","Allspice, spice mixes, baked goods",,"Spice allergy."
Turmeric,1,"Hives, oral allergy syndrome","Turmeric, curry, spice mixes",,"Spice allergy."
